P_chamber_psia,OF_ratio,Isp_s,Cstar_m_s
550.0,1.4827586206896552,215.87107638302453,1192.45107423018
550.0,1.9655172413793105,225.08060329578387,1252.7969404143942
550.0,2.4482758620689653,232.6833335832668,1308.9489843205913
550.0,2.931034482758621,239.11556186184467,1359.6528607667942
550.0,3.413793103448276,246.66070943449063,1423.143542917867
550.0,3.896551724137931,256.1252765662744,1484.9185429644804
550.0,4.379310344827586,264.5686857074448,1529.3945955005227
550.0,4.862068965517242,271.1716095662182,1562.0841330014648
550.0,5.344827586206897,276.28878697598356,1586.0814555859636
550.0,5.827586206896552,280.2881805134356,1602.9364818502384
550.0,6.310344827586207,283.3882906879138,1613.1044130172374
550.0,6.793103448275862,285.72077262154744,1616.9199407540848
550.0,7.275862068965518,287.37566266790947,1615.5373660901155
550.0,7.758620689655173,288.4138040675736,1610.6358978439168
550.0,8.24137931034483,288.86356374289437,1603.6658565697987
550.0,8.724137931034484,288.6957086854896,1595.594740307507
550.0,9.206896551724139,287.7721708012293,1586.9999091485165
550.0,9.689655172413794,286.0904335168726,1578.212696931146
550.0,10.172413793103448,284.09499365622975,1569.4204496276293
550.0,10.655172413793103,282.0129930639465,1560.728450066191
550.0,11.13793103448276,279.9248737802842,1552.1945616748988
550.0,11.620689655172415,277.86726969655217,1543.8493132159474
550.0,12.10344827586207,275.8586171378388,1535.7074184581613
550.0,12.586206896551724,273.90836174168834,1527.7743180617413
550.0,13.068965517241379,272.0210639951249,1520.050084778778
550.0,13.551724137931036,270.19844933659124,1512.5320128894823
550.0,14.03448275862069,268.4405300082596,1505.2157087741386
550.0,14.517241379310345,266.74629685964555,1498.096171000264
550.0,15.0,265.1140953046582,1491.1679391947002
600.0,1.0,203.2979106415853,1117.9935582903654
600.0,1.4827586206896552,216.0750642293697,1193.694316459488
600.0,1.9655172413793105,225.27840572638013,1253.8645347180586
600.0,2.4482758620689653,232.8513756780363,1309.5447655499272
600.0,2.931034482758621,239.25589855932006,1359.920092597596
600.0,3.413793103448276,246.7450007949736,1423.1414394992516
600.0,3.896551724137931,256.15163102738364,1484.9116595148346
600.0,4.379310344827586,264.5731912239252,1529.4077701673432
600.0,4.862068965517242,271.17934379671703,1562.155477350607
600.0,5.344827586206897,276.3033902883717,1586.261090464124
600.0,5.827586206896552,280.3128812561213,1603.290219942455
600.0,6.310344827586207,283.4267575415806,1613.7003851268996
600.0,6.793103448275862,285.77621750097916,1617.7767560718523
600.0,7.275862068965518,287.4502398002344,1616.6033112378789
600.0,7.758620689655173,288.50888789802207,1611.833364524303
600.0,8.24137931034483,288.9803356272637,1604.9299411268285
600.0,8.724137931034484,288.8352449209278,1596.8812028499894
600.0,9.206896551724139,287.9305948703682,1588.2805062728635
600.0,9.689655172413794,286.24450216594903,1579.4695879828505
600.0,10.172413793103448,284.23542230463664,1570.6422740969947
600.0,10.655172413793103,282.139588735497,1561.9079152513505
600.0,11.13793103448276,280.03889301382384,1553.3270144715148
600.0,11.620689655172415,277.97012141493497,1544.9318738581132
600.0,12.10344827586207,275.951601351246,1536.7384625393222
600.0,12.586206896551724,273.9926222788451,1528.7531151715166
600.0,13.068965517241379,272.09759375221745,1520.9766243609017
600.0,13.551724137931036,270.2681083190375,1513.4068187873736
600.0,14.03448275862069,268.50406427685675,1506.0397336755016
600.0,14.517241379310345,266.804355387793,1498.87066563737
600.0,15.0,265.16724692706566,1491.8945641678954
650.0,1.0,203.45721365240024,1118.9541457767832
650.0,1.4827586206896552,216.26239275522678,1194.8356949881688
650.0,1.9655172413793105,225.46127280494065,1254.8584259866584
650.0,2.4482758620689653,233.00776429806336,1310.1155444425053
650.0,2.931034482758621,239.3868790476978,1360.181861856829
650.0,3.413793103448276,246.82418673564032,1423.1402960944322
650.0,3.896551724137931,256.1769736524148,1484.9054126777537
650.0,4.379310344827586,264.5773830443705,1529.418891001476
650.0,4.862068965517242,271.18620071091505,1562.2174938126095
650.0,5.344827586206897,276.31636923122414,1586.4188091617332
650.0,5.827586206896552,280.33490891057573,1603.6031668766727
650.0,6.310344827586207,283.4612003163244,1614.2323670406042
650.0,6.793103448275862,285.8260734384262,1618.5487679470566
650.0,7.275862068965518,287.5175410880428,1617.5707751492241
650.0,7.758620689655173,288.5949220235018,1612.9250636350305
650.0,8.24137931034483,289.08619431002876,1606.0851448661847
650.0,8.724137931034484,288.96193794691214,1598.0581406388042
650.0,9.206896551724139,288.07489668108593,1589.452480735497
650.0,9.689655172413794,286.3848406918036,1580.619731652874
650.0,10.172413793103448,284.3631285815182,1571.759874070824
650.0,10.655172413793103,282.25458278316864,1562.986080164587
650.0,11.13793103448276,280.1423720486672,1554.3614177171694
650.0,11.620689655172415,278.0633948142694,1545.919810701333
650.0,12.10344827586207,276.0358674975256,1537.6784567596042
650.0,12.586206896551724,274.06893180363966,1529.6445698342218
650.0,13.068965517241379,272.1668569646576,1521.8195584917253
650.0,13.551724137931036,270.3311127442961,1514.2017827548357
650.0,14.03448275862069,268.5614927541232,1506.7876785875744
650.0,14.517241379310345,266.8568021018124,1499.5728624600386
650.0,15.0,265.215231036385,1492.5525372545692
700.0,1.0,203.6038899734125,1119.837298930834
700.0,1.4827586206896552,216.43551913803424,1195.8902015613357
700.0,1.9655172413793105,225.63130012406648,1255.7879996473619
700.0,2.4482758620689653,233.15407372430485,1310.663302422361
700.0,2.931034482758621,239.50976269626912,1360.4383884154201
700.0,3.413793103448276,246.89893278948924,1423.1400294421385
700.0,3.896551724137931,256.20139750990523,1484.8997217195265
700.0,4.379310344827586,264.5813284447152,1529.4284483855477
700.0,4.862068965517242,271.1923368987761,1562.272075980583
700.0,5.344827586206897,276.32800734180495,1586.5586358334522
700.0,5.827586206896552,280.354721796367,1603.882507437649
700.0,6.310344827586207,283.49229460905997,1614.7111375217125
700.0,6.793103448275862,285.87126105807033,1619.2496306688718
700.0,7.275862068965518,287.5787470941672,1618.4551189675985
700.0,7.758620689655173,288.673359685868,1613.927247616923
700.0,8.24137931034483,289.1828790330661,1607.1480515528106
700.0,8.724137931034484,289.07781916167016,1599.1421528323617
700.0,9.206896551724139,288.2072677614277,1590.5323269796274
700.0,9.689655172413794,286.5135823751894,1581.679343727463
700.0,10.172413793103448,284.4801056363365,1572.7890812990079
700.0,10.655172413793103,282.3598047506426,1563.9783979061074
700.0,11.13793103448276,280.23698081253633,1555.3127497810842
700.0,11.620689655172415,278.148612994069,1546.8276618751083
700.0,12.10344827586207,276.1128063318238,1538.541465320359
700.0,12.586206896551724,274.13856247031725,1530.462199556453
700.0,13.068965517241379,272.23001955239266,1522.591893291698
700.0,13.551724137931036,270.38853340417376,1514.9293912486464
700.0,14.03448275862069,268.61380068739106,1507.4715097456672
