P_chamber_pascals,OF_ratio,Isp_s,Cstar_m_s
400000.0,8.212121212121211,285.22216159652777,1568.8863713285857
400000.0,8.353535353535353,285.0693773418288,1566.4743013158109
400000.0,8.494949494949495,284.8658867182083,1564.045312280457
400000.0,8.636363636363637,284.61087454489996,1561.6064917330573
400000.0,8.777777777777779,284.30761877292736,1559.1638872942167
400000.0,8.919191919191919,283.96106314385383,1556.7224388072332
400000.0,9.06060606060606,283.5777759668538,1554.2862525737337
400000.0,9.202020202020202,283.1651856265115,1551.8586824100137
400000.0,9.343434343434343,282.72800617653274,1549.4425969807858
400000.0,9.484848484848484,282.2728460989252,1547.0402503292862
400000.0,9.626262626262626,281.8032095592191,1544.6534787885398
400000.0,9.767676767676768,281.32220908715226,1542.283883150607
400000.0,9.909090909090908,280.8314345294132,1539.9325911479216
400000.0,10.05050505050505,280.3354246920493,1537.600562392657
400000.0,10.191919191919192,279.8330834314676,1535.288557188888
400000.0,10.333333333333332,279.3265571437988,1532.9971386028526
400000.0,10.474747474747474,278.8168917086049,1530.726717884133
400000.0,10.616161616161616,278.3049647166737,1528.4775474367332
400000.0,10.757575757575758,277.7915364895001,1526.24986530231
400000.0,10.898989898989898,277.2772551794011,1524.0437248011829
400000.0,11.04040404040404,276.7626907526338,1521.8591348194004
400000.0,11.181818181818182,276.24834587758005,1519.696040582823
400000.0,11.323232323232324,275.73397779282953,1517.554334190348
400000.0,11.464646464646464,275.22159278785995,1515.4338636145778
400000.0,11.606060606060606,274.7105885300632,1513.3344255990473
400000.0,11.747474747474747,274.201290129553,1511.2558314407268
400000.0,11.88888888888889,273.69398150765124,1509.1978235224228
400000.0,12.03030303030303,273.188921390073,1507.1601396175438
400000.0,12.171717171717171,272.6863430995503,1505.1425020682368
400000.0,12.313131313131313,272.18645613183287,1503.1446428118552
400000.0,12.454545454545453,271.6894461054727,1501.1662045969597
400000.0,12.595959595959595,271.1954761234884,1499.206920974866
400000.0,12.737373737373737,270.70470020511056,1497.2664953605788
400000.0,12.878787878787879,270.21724471647775,1495.3446022573903
400000.0,13.020202020202019,269.7332232500775,1493.4409292812459
400000.0,13.16161616161616,269.25273490058186,1491.555164574571
400000.0,13.303030303030303,268.7758654224292,1489.6869979296846
400000.0,13.444444444444445,268.30268843287183,1487.8361235731538
400000.0,13.585858585858585,267.8332630781046,1486.0022198396305
400000.0,13.727272727272727,267.3676485025002,1484.1850154764554
400000.0,13.868686868686869,266.9058846696562,1482.3842019263716
400000.0,14.01010101010101,266.448006582189,1480.5994887131192
400000.0,14.15151515151515,265.994041714046,1478.830590762754
400000.0,14.292929292929292,265.54401071710566,1477.0772286950978
400000.0,14.434343434343434,265.0979280660463,1475.3391290415539
400000.0,14.575757575757574,264.6557994793204,1473.616008089427
400000.0,14.717171717171716,264.21763512264573,1471.9076351379445
400000.0,14.858585858585858,263.78343109080436,1470.2137405169449
400000.0,15.0,263.35318254128356,1468.5340611649954
500000.0,1.0,198.86470837170737,1090.8696500875615
500000.0,1.1414141414141414,202.96974191623926,1114.2092832406777
500000.0,1.2828282828282829,206.5778951614724,1135.4698355595647
500000.0,1.4242424242424243,209.85460525184573,1155.5853315720199
500000.0,1.5656565656565657,212.91830773164676,1175.3744298758959
500000.0,1.7070707070707072,215.84336542793085,1195.5177407798913
500000.0,1.8484848484848484,218.6625715274695,1216.2756116813257
500000.0,1.9898989898989898,221.37836059472883,1237.3276036704647
500000.0,2.1313131313131315,223.98103364875237,1258.0783165267178
500000.0,2.2727272727272725,226.461938718477,1278.0423034275661
500000.0,2.4141414141414144,228.81757766128538,1296.96354089582
500000.0,2.5555555555555554,231.0489442436981,1314.760811616841
500000.0,2.696969696969697,233.15984317320033,1331.4490264091787
500000.0,2.8383838383838382,235.15570337830778,1347.0871327031382
500000.0,2.9797979797979797,237.04269488480395,1361.7494813945318
500000.0,3.121212121212121,238.82873125952253,1373.5369600576478
500000.0,3.2626262626262625,241.71012408006854,1398.8807546012265
500000.0,3.404040404040404,244.92310840688864,1421.843422838463
500000.0,3.5454545454545454,248.142271978842,1442.4191703767015
500000.0,3.686868686868687,251.29703568722866,1460.928676251261
500000.0,3.8282828282828283,254.3583036003779,1477.6191006193046
500000.0,3.9696969696969697,257.27023981976396,1492.6847113813947
500000.0,4.111111111111111,259.9509176572364,1506.284278408614
500000.0,4.252525252525253,262.4049737681079,1518.5510543783196
500000.0,4.393939393939394,264.65367663387855,1529.600479202744
500000.0,4.535353535353535,266.71845874190524,1539.5340924919099
500000.0,4.6767676767676765,268.61779008749653,1548.4414740252844
500000.0,4.818181818181818,270.36736405794636,1556.4002742747298
500000.0,4.959595959595959,271.98048079461097,1563.4765381376371
500000.0,5.101010101010101,273.4684358701157,1569.7237049441542
